,Employee_Name,Employee_Id,Project_Id,Start_Date,End_Date,Allocated_Days,Completed_In_Days,Login_Time,Logout_Time,isOnTime,Joining_Date,Appraisal_Cycles,YearsInCompany,Complaints_received,average_monthly_hours,Behavior
0, Lisa Ramos,0,7175,2016-06-09,2018-10-13,863,856,9:54,7:53,1,2015-07-13,2,5,1,157,Good
1,Paul Rivera,1,5869,2017-05-27,2017-09-18,110,114,10:5,7:18,1,2016-08-07,0,4,0,262,Excellent
2,John Kaul,2,7692,2013-05-06,2015-01-22,630,626,10:45,7:4,0,2012-10-24,1,8,7,272,Average
3,Keely Jackson,3,5414,2018-12-26,2020-09-24,629,638,10:23,8:41,1,2018-10-23,0,2,2,223,Good
4,Joseph Irby,4,7774,2013-04-28,2017-01-15,1358,1358,10:52,7:46,0,2013-04-03,4,8,3,159,Average
5,Thomas Limbaugh,5,4379,2012-07-01,2015-12-18,1256,1265,8:52,7:15,0,2012-02-15,0,9,10,153,Bad
6,Bernice Honig,6,6336,2010-05-19,2016-06-12,2220,2216,10:57,7:9,0,2010-03-23,9,11,2,247,Good
7,Carl Garstka,7,9595,2017-09-22,2018-01-20,117,120,10:58,8:30,1,2017-07-19,0,3,0,259,Excellent
8,James Henry,8,7486,2013-11-23,2014-07-13,234,232,10:7,8:40,0,2013-10-16,1,7,8,224,Below Average
9,Douglas Foody,9,6966,2009-08-20,2017-11-22,3015,3016,8:42,8:55,0,2009-08-05,5,11,7,142,Bad
10,Anna Sinotte,10,1919,2014-05-24,2019-04-15,1792,1787,9:50,8:25,1,2014-04-17,2,7,0,135,Average
11,Charles Strode,11,4094,2014-02-26,2020-10-07,2412,2415,9:41,7:21,0,2013-07-13,2,7,1,305,Good
12,Leone Shaw,12,7693,2010-05-26,2014-12-03,1657,1652,8:34,8:29,0,2010-02-17,3,11,7,234,Average
13,Joe Sullivan,13,6662,2011-09-19,2018-11-17,2610,2616,8:11,7:30,0,2011-07-21,7,9,3,148,Average
14,Laurie Smith,14,8077,2011-11-12,2021-01-29,3375,3366,10:34,7:43,0,2011-06-08,3,9,8,137,Bad
15,Traci Mcdill,15,6659,2016-02-02,2018-08-27,931,937,9:16,8:39,0,2015-03-16,3,6,3,143,Average
16,Devin Young,16,5614,2008-04-13,2020-12-08,4628,4622,8:40,8:37,0,2008-03-15,0,13,7,160,Bad
17,Raymundo Fulcher,17,9761,2015-12-05,2015-12-23,16,18,10:56,7:30,0,2015-11-24,3,5,2,255,Good
18,Mark Dudley,18,2431,2001-03-17,2002-08-19,529,520,8:13,7:38,0,2001-03-08,14,20,8,160,Bad
19,Brandon Clark,19,2552,2010-09-26,2015-01-13,1566,1570,8:56,8:43,0,2010-06-03,8,10,2,262,Good
20,Marguerite Coachman,20,9152,2001-10-11,2013-08-22,4333,4333,10:47,8:46,0,2001-03-22,19,20,3,282,Good
21,Richard Martinez,21,2010,2016-02-02,2018-07-30,904,909,8:16,8:34,1,2015-07-01,3,5,1,147,Average
22,Dawn Sullivan,22,5816,2012-04-15,2014-08-02,839,839,10:9,8:36,0,2011-04-29,1,10,8,304,Average
23,Martha Green,23,5737,2008-05-04,2019-10-16,4174,4182,9:49,8:53,1,2007-10-17,1,13,7,139,Bad
